Deputado,Partido,Voto,UF
Paulo Azi,DEM,Sim,BA
Paulo Bengtson,PTB,Sim,PA
Paulo Eduardo Martins,PSC,Sim,PR
Paulo Freire Costa,PL,Sim,SP
Paulo Ganime,NOVO,Sim,RJ
Paulo Guedes,PT,Não,MG
Paulo Magalhães,PSD,Sim,BA
Paulo Pereira da Silva,Solidaried,Não,SP
Paulo Pimenta,PT,Não,RS
Paulo Ramos,PDT,Não,RJ
Paulo Teixeira,PT,Não,SP
Paulão,PT,Não,AL
Pedro Augusto Bezerra,PTB,Sim,CE
Pedro Cunha Lima,PSDB,Sim,PB
Pedro Lucas Fernandes,PTB,Sim,MA
Pedro Lupion,DEM,Sim,PR
Pedro Paulo,DEM,Sim,RJ
Pedro Uczai,PT,Não,SC
Pedro Westphalen,PP,Sim,RS
Perpétua Almeida,PCdoB,Não,AC
Pinheirinho,PP,Sim,MG
Policial Katia Sastre,PL,Sim,SP
Pompeo de Mattos,PDT,Não,RS
Pr. Marco Feliciano,Podemos,Sim,SP
Professor Alcides,PP,Sim,GO
Professor Israel Batista,PV,Não,DF
Professor Joziel,PSL,Sim,RJ
Professora Dayane Pimentel,PSL,Sim,BA
Professora Dorinha Seabra Rezende,DEM,Sim,TO
Professora Marcivania,PCdoB,Não,AP
Professora Rosa Neide,PT,Não,MT
Rafael Motta,PSB,Não,RN
Raimundo Costa,PL,Sim,BA
Raul Henry,MDB,Sim,PE
Reginaldo Lopes,PT,Não,MG
Reinhold Stephanes Junior,PSD,Sim,PR
Rejane Dias,PT,Não,PI
Renata Abreu,Podemos,Sim,SP
Renildo Calheiros,PCdoB,Não,PE
Ricardo Barros,PP,Sim,PR
Ricardo Guidi,PSD,Sim,SC
Ricardo Izar,PP,Sim,SP
Ricardo Teobaldo,Podemos,Sim,PE
Roberto Alves,PRB,Sim,SP
Roberto de Lucena,Podemos,Sim,SP
Roberto Pessoa,PSDB,Sim,CE
Robério Monteiro,PDT,Não,CE
Rodrigo Agostinho,PSB,Sim,SP
Rodrigo Coelho,PSB,Sim,SC
Rodrigo de Castro,PSDB,Sim,MG
Rodrigo Maia,DEM,Sim,RJ
Rogério Correia,PT,Não,MG
Rogério Peninha Mendonça,MDB,Sim,SC
Ronaldo Carletto,PP,Sim,BA
Rosana Valle,PSB,Sim,SP
Rosangela Gomes,PRB,Sim,RJ
Rose Modesto,PSDB,Sim,MS
Rubens Bueno,CIDADANIA,Sim,PR
Rubens Otoni,PT,Não,GO
Rui Falcão,PT,Não,SP
Ruy Carneiro,PSDB,Sim,PB
Samuel Moreira,PSDB,Sim,SP
Sanderson,PSL,Sim,RS
Santini,PTB,Sim,RS
Sargento Fahur,PSD,Sim,PR
Schiavinato,PP,Sim,PR
Sebastião Oliveira,PL,Sim,PE
Sergio Souza,MDB,Sim,PR
Sergio Toledo,PL,Sim,AL
Sergio Vidigal,PDT,Não,ES
Severino Pessoa,PRB,Sim,AL
Shéridan,PSDB,Sim,RR
Sidney Leite,PSD,Sim,AM
Silas Câmara,PRB,Sim,AM
Silvia Cristina,PDT,Sim,RO
Silvio Costa Filho,PRB,Sim,PE
Soraya Santos,PL,Sim,RJ
Stefano Aguiar,PSD,Sim,MG
Subtenente Gonzaga,PDT,Sim,MG
Sâmia Bomfim,PSOL,Não,SP
Sóstenes Cavalcante,DEM,Sim,RJ
Tabata Amaral,PDT,Sim,SP
Tadeu Alencar,PSB,Não,PE
Talíria Petrone,PSOL,Não,RJ
Ted Conti,PSB,Sim,ES
Tereza Cristina,DEM,Sim,MS
Tereza Nelma,PSDB,Não,AL
Tiago Dimas,Solidaried,Sim,TO
Tiago Mitraud,NOVO,Sim,MG
Tiririca,PL,Não,SP
Tito,Avante,Sim,BA
Toninho Wandscheer,PROS,Sim,PR
Túlio Gadêlha,PDT,Não,PE
Uldurico Junior,PROS,Sim,BA
Vaidon Oliveira,PROS,Sim,CE
Valdevan Noventa,PSC,Não,SE
Valmir Assunção,PT,Não,BA
Vander Loubet,PT,Não,MS
Vanderlei Macris,PSDB,Sim,SP
Vavá Martins,PRB,Sim,PA
Vermelho,PSD,Sim,PR
Vicentinho,PT,Não,SP
Vicentinho Júnior,PL,Sim,TO
Vilson da Fetaemg,PSB,Não,MG
Vinicius Carvalho,PRB,Sim,SP
Vinicius Farah,MDB,Sim,RJ
Vinicius Gurgel,PL,Sim,AP
Vinicius Poit,NOVO,Sim,SP
Vitor Lippi,PSDB,Sim,SP
Waldenor Pereira,PT,Não,BA
Walter Alves,MDB,Sim,RN
Weliton Prado,PROS,Não,MG
Wellington Roberto,PL,Sim,PB
Wilson Santiago,PTB,Sim,PB
Wladimir Garotinho,PSD,Não,RJ
Wolney Queiroz,PDT,Não,PE
Zeca Dirceu,PT,Não,PR
Zé Carlos,PT,Não,MA
Zé Neto,PT,Não,BA
Zé Silva,Solidaried,Sim,MG
Zé Vitor,PL,Sim,MG
Átila Lins,PP,Sim,AM
Átila Lira,PSB,Sim,PI
Áurea Carolina,PSOL,Não,MG
