Deputado,Partido,Voto,UF
Felício Laterça,PSL,Sim,RJ
Felipe Carreras,PSB,Sim,PE
Felipe Francischini,PSL,Sim,PR
Felipe Rigoni,PSB,Sim,ES
Fernando Filho,DEM,Sim,PE
Fernando Rodolfo,PL,Sim,PE
Filipe Barros,PSL,Sim,PR
Flavia Arruda,PL,Sim,DF
Flaviano Melo,MDB,Sim,AC
Flavio Nogueira,PDT,Sim,PI
Flordelis,PSD,Sim,RJ
Francisco Jr,PSD,Sim,GO
Franco Cartafina,PP,Sim,MG
Fred Costa,PATRI,Sim,MG
Gastão Vieira,PROS,Sim,MA
Gelson Azevedo,PL,Sim,RJ
Genecias Noronha,SOLIDARIEDADE,Sim,CE
General Peternelli,PSL,Sim,SP
Geninho Zuliani,DEM,Sim,SP
Geovania de Sa,PSDB,Sim,SC
Giacobo,PL,Sim,PR
Gil Cutrim,PDT,Sim,MA
Gilberto Abramo,PRB,Sim,MG
Gilberto Nascimento,PSC,Sim,SP
Gilson Marques,NOVO,Sim,SC
Giovani Cherini,PL,Sim,RS
Giovani Feltes,MDB,Sim,RS
Glaustin da Fokus,PSC,Sim,GO
Greyce Elias,AVANTE,Sim,MG
Guiga Peixoto,PSL,Sim,SP
Guilherme Mussi,PP,Sim,SP
Gustinho Ribeiro,SOLIDARIEDADE,Sim,SE
Gutemberg Reis,MDB,Sim,RJ
Haroldo Cathedral,PSD,Sim,RR
Heitor Freire,PSL,Sim,CE
Hélio Costa,PRB,Sim,SC
Helio Fernando Barbosa Lopes,PSL,Sim,RJ
Hélio Leite,DEM,Sim,PA
Hercílio Coelho Diniz,MDB,Sim,MG
Herculano Passos,MDB,Sim,SP
Hermes Parcianello,MDB,Sim,PR
Hildo Rocha,MDB,Sim,MA
Hugo Leal,PSD,Sim,RJ
Igor Kannario,PHS,Sim,BA
Igor Timo,PODE,Sim,MG
Iracema Portella,PP,Sim,PI
Isnaldo Bulhões,MDB,Sim,AL
Jaqueline Cassol,PP,Sim,RO
Jefferson Campos,PSB,Sim,SP
Jerônimo Goergen,PP,Sim,RS
Jéssica Sales,MDB,Sim,AC
Jesus Sérgio,PDT,Sim,AC
Jhonatan de Jesus,PRB,Sim,RR
João Bacelar,PL,Sim,BA
João Campos,PRB,Sim,GO
João Maia,PL,Sim,RN
João Marcelo,MDB,Sim,MA
João Roma,PRB,Sim,BA
Joaquim Passarinho,PSD,Sim,PA
Joice Hasselmann,PSL,Sim,SP
Jorge Braz,PRB,Sim,RJ
Jose Mario Schreiner,DEM,Sim,GO
Jose Medeiros,PODE,Sim,MT
José Nelto,PODE,Sim,GO
José Nunes,PSD,Sim,BA
Jose Rocha,PL,Sim,BA
Josimar Maranhãozinho,PL,Sim,MA
Juarez Costa,MDB,Sim,MT
Julian Lemos,PSL,Sim,PB
Júlio Cesar,PSD,Sim,PI
Julio Cesar Ribeiro,PRB,Sim,DF
Juninho do Pneu,DEM,Sim,RJ
Junior Bozzella,PSL,Sim,SP
Júnior Ferrari,PSD,Sim,PA
Junior Lourenço,PL,Sim,MA
Júnior Mano,PL,Sim,CE
Junior Marreca Filho,PATRI,Sim,MA
Juscelino Filho,DEM,Sim,MA
Kim Kataguiri,DEM,Sim,SP
Laercio Oliveira,PP,Sim,SE
Lafayette Andrada,PRB,Sim,MG
Lauriete,PL,Sim,ES
Leandre,PV,Sim,PR
Leda Sadala,AVANTE,Sim,AP
Léo Moraes,PODE,Sim,RO
Léo Motta,PSL,Sim,MG
Leur Lomanto Jr,DEM,Sim,BA
Lincoln Portela,PL,Sim,MG
Liziane Bayer,PSB,Sim,RS
Lourival Gomes,PSL,Sim,RJ
Lucas Gonzalez,NOVO,Sim,MG
Lucas Redecker,PSDB,Sim,RS
Lucas Vergílio,SOLIDARIEDADE,Sim,GO
Luciano Bivar,PSL,Sim,PE
Lucio Mosquini,MDB,Sim,RO
Luis Miranda,DEM,Sim,DF
Luis Tibe,AVANTE,Sim,MG
Luisa Canziani,PTB,Sim,PR
Luiz Antônio,DC,Sim,RJ
Luiz Carlos,PSDB,Sim,AP
Luiz Lima,PSL,Sim,RJ
Luiz Nishimori,PL,Sim,PR
Luiz Philippe O. Bragança,PSL,Sim,SP
Luizão Goulart,PRB,Sim,PR
Magda Mofatto,PL,Sim,GO
Major Fabiana,PSL,Sim,RJ
Major Vitor Hugo,PSL,Sim,GO
Mara Rocha,PSDB,Sim,AC
Marcel van Hattem,NOVO,Sim,RS
Marcelo Alvaro Antonio,PSL,Sim,MG
Marcelo Aro,PP,Sim,MG
Marcelo Calero,CIDADANIA,Sim,RJ
Marcelo Moraes,PTB,Sim,RS
Marcelo Ramos,PL,Sim,AM
Marcio Alvino,PL,Sim,SP
Márcio Biolchi,MDB,Sim,RS
Márcio Labre,PSL,Sim,RJ
Marcio Marinho,PRB,Sim,BA
Marco Bertaiolli,PSD,Sim,SP
Marcos Aurelio Sampaio,MDB,Sim,PI
Marcos Pereira,PRB,Sim,SP
Margarete Coelho,PP,Sim,PI
Maria Rosas,PRB,Sim,SP
Mariana Carvalho,PSDB,Sim,RO
Marlon Santos,PDT,Sim,RS
Marx Beltrão,PSD,Sim,AL
Maurício Dziedricki,PTB,Sim,RS
Mauro Lopes,MDB,Sim,MG
Miguel Lombardi,PL,Sim,SP
Milton Vieira,PRB,Sim,SP
Misael Varella,PSD,Sim,MG
Moses Rodrigues,MDB,Sim,CE
Nelson Barbudo,PSL,Sim,MT
Nereu Crispim,PSL,Sim,RS
Neri Geller,PP,Sim,MT
Newton Cardoso Jr,MDB,Sim,MG
Nicoletti,PSL,Sim,RR
Nilson Pinto,PSDB,Sim,PA
Nivaldo Albuquerque,PTB,Sim,AL
Norma Ayub,DEM,Sim,ES
Olival Marques,DEM,Sim,PA
Onyx Lorenzoni,DEM,Sim,RS
Osires Damaso,PSC,Sim,TO
Otaci,SOLIDARIEDADE,Sim,RR
Otoni de Paula,PSC,Sim,RJ
Otto Alencar Filho,PSD,Sim,BA
Paes Landim,PTB,Sim,PI
Pastor Abilio Santana,PHS,Sim,BA
Pastor Eurico,PATRI,Sim,PE
Pastor Gildenemyr,PL,Sim,MA
Pastor Manuel Marcos,PRB,Sim,AC
Pastor Marco Feliciano,PODE,Sim,SP
Pastor Sargento Isidório,AVANTE,Sim,BA
Paula Belmonte,CIDADANIA,Sim,DF
Paulo Abi-Ackel,PSDB,Sim,MG
Paulo Azi,DEM,Sim,BA
Paulo Bengtson,PTB,Sim,PA
Paulo Freire Costa,PL,Sim,SP
Paulo Ganime,NOVO,Sim,RJ
Paulo Magalhães,PSD,Sim,BA
Paulo Martins,PSC,Sim,PR
Pedro Bezerra,PTB,Sim,CE
Pedro Cunha Lima,PSDB,Sim,PB
Pedro Lucas Fernandes,PTB,Sim,MA
Pedro Lupion,DEM,Sim,PR
Pedro Paulo,DEM,Sim,RJ
Pedro Westphalen,PP,Sim,RS
Peninha,MDB,Sim,SC
Perondi,MDB,Sim,RS
Pinheirinho,PP,Sim,MG
Policial Katia Sastre,PL,Sim,SP
Priante,MDB,Sim,PA
Prof. Dayane Pimentel,PSL,Sim,BA
Professor Alcides,PP,Sim,GO
Professor Joziel,PSL,Sim,RJ
Professor Luiz Flavio Gomes,PSB,Sim,SP
Professora Dorinha,DEM,Sim,TO
Raimundo Costa,PL,Sim,BA
Raul Henry,MDB,Sim,PE
Reinhold Stephanes Junior,PSD,Sim,PR
Renata Abreu,PODE,Sim,SP
Ricardo Barros,PP,Sim,PR
Ricardo Guidi,PSD,Sim,SC
Ricardo Izar,PP,Sim,SP
Ricardo Teobaldo,PODE,Sim,PE
Roberto Alves,PRB,Sim,SP
Roberto de Lucena,PODE,Sim,SP
Roberto Pessoa,PSDB,Sim,CE
Rodrigo Agostinho,PSB,Sim,SP
Rodrigo Coelho,PSB,Sim,SC
Rodrigo de Castro,PSDB,Sim,MG
Rodrigo Maia,DEM,Sim,RJ
Ronaldo Carletto,PP,Sim,BA
Rosana Valle,PSB,Sim,SP
Rosangela Gomes,PRB,Sim,RJ
Rose Modesto,PSDB,Sim,MS
Rubens Bueno,CIDADANIA,Sim,PR
Ruy Carneiro,PSDB,Sim,PB
Samuel Moreira,PSDB,Sim,SP
Sanderson Federal,PSL,Sim,RS
Santini,PTB,Sim,RS
Sargento Fahur,PSD,Sim,PR
Sargento Gurgel,PSL,Sim,RJ
Schiavinato,PP,Sim,PR
Sebastião Oliveira,PL,Sim,PE
Sérgio Souza,MDB,Sim,PR
Sérgio Toledo,PL,Sim,AL
Severino Pessôa,PRB,Sim,AL
Shéridan,PSDB,Sim,RR
Sidney Leite,PSD,Sim,AM
Silas Câmara,PRB,Sim,AM
Silvia Cristina,PDT,Sim,RO
Silvio Costa Filho,PRB,Sim,PE
Soraya Santos,PL,Sim,RJ
Sóstenes,DEM,Sim,RJ
Stefano Aguiar,PSD,Sim,MG
Subtenente Gonzaga,PDT,Sim,MG
Tabata Amaral,PDT,Sim,SP
Ted Conti,PSB,Sim,ES
Tenente Derrite,PP,Sim,SP
Tereza Cristina,DEM,Sim,MS
Tiago Dimas,SOLIDARIEDADE,Sim,TO
Tiago Mitraud,NOVO,Sim,MG
Tio Trutis,PSL,Sim,MS
Tito,AVANTE,Sim,BA
Toninho Wandscheer,PROS,Sim,PR
Uldúrico Júnior,PROS,Sim,BA
Vaidon Oliveira,PROS,Sim,CE
Vanderlei Macris,PSDB,Sim,SP
Vavá Martins,PRB,Sim,PA
Vermelho,PSD,Sim,PR
Vicentinho Junior,PL,Sim,TO
Vinicius Carvalho,PRB,Sim,SP
Vinícius Farah,MDB,Sim,RJ
Vinícius,PL,Sim,AP
Vinicius Poit,NOVO,Sim,SP
Vitor Lippi,PSDB,Sim,SP
Walter Alves,MDB,Sim,RN
Wellington Roberto,PL,Sim,PB
Wilson Santiago,PTB,Sim,PB
Zé Silva,SOLIDARIEDADE,Sim,MG
Zé Vitor,PL,Sim,MG
Afonso Florence,PT,Não,BA
Afonso Motta,PDT,Não,RS
Airton Faleiro,PT,Não,PA
Alencar Santana Braga,PT,Não,SP
Alessandro Molon,PSB,Não,RJ
Alexandre Padilha,PT,Não,SP
Alice Portugal,PC do B,Não,BA
Aliel Machado,PSB,Não,PR
Aline Gurgel,PRB,Não,AP
André Figueiredo,PDT,Não,CE
Andre Janones,AVANTE,Não,MG
Arlindo Chinaglia,PT,Não,SP
Assis Carvalho,PT,Não,PI
Aurea Carolina,PSOL,Não,MG
Benedita da Silva,PT,Não,RJ
Beto Faro,PT,Não,PA
Bira do Pindaré,PSB,Não,MA
Bohn Gass,PT,Não,RS
Camilo Capiberibe,PSB,Não,AP
Capitão Wagner,PROS,Não,CE
Carlos Veras,PT,Não,PE
Carlos Zarattini,PT,Não,SP
Cássio Andrade,PSB,Não,PA
Celio Moura,PT,Não,TO
Celio Studart,PV,Não,CE
Chico D Angelo,PDT,Não,RJ
Clarissa Garotinho,PROS,Não,RJ
Dagoberto,PDT,Não,MS
Daniel Almeida,PC do B,Não,BA
Danilo Cabral,PSB,Não,PE
David Miranda,PSOL,Não,RJ
Denis Bezerra,PSB,Não,CE
Dr Damião,PDT,Não,PB
Dr. Mário Heringer,PDT,Não,MG
Dr. Mauro Nazif,PSB,Não,RO
Edmilson Rodrigues,PSOL,Não,PA
Eduardo Bismarck,PDT,Não,CE
Eduardo Braide,PMN,Não,MA
Eduardo da Fonte,PP,Não,PE
Elias Vaz,PSB,Não,GO
Enio Verri,PT,Não,PR
Erika Kokay,PT,Não,DF
Expedito Netto,PSD,Não,RO
Fábio Henrique,PDT,Não,SE
Felix Mendonça,PDT,Não,BA
Fernanda Melchionna,PSOL,Não,RS
Fernando Monteiro,PP,Não,PE
Flavia Morais,PDT,Não,GO
Frei Anastacio,PT,Não,PB
Gervásio Maia,PSB,Não,PB
Glauber Braga,PSOL,Não,RJ
Gleisi Lula,PT,Não,PR
Gonzaga Patriota,PSB,Não,PE
Guimaraes,PT,Não,CE
Gustavo Fruet,PDT,Não,PR
Heitor Schuch,PSB,Não,RS
Helder Salomão,PT,Não,ES
Henrique Fontana,PT,Não,RS
Hugo,PRB,Não,PB
Idilvan,PDT,Não,CE
Ivan Valente,PSOL,Não,SP
Jandira Feghali,PC do B,Não,RJ
Jhc,PSB,Não,AL
João Campos,PSB,Não,PE
Joao Daniel,PT,Não,SE
Joenia Wapichana,REDE,Não,RR
Jorge Solla,PT,Não,BA
Jose Airton,PT,Não,CE
José Ricardo,PT,Não,AM
Joseildo Ramos,PT,Não,BA
Julio Delgado,PSB,Não,MG
Leonardo Monteiro,PT,Não,MG
Leonidas Cristino,PDT,Não,CE
Lídice da Mata,PSB,Não,BA
Luciano Ducci,PSB,Não,PR
Luiza Erundina,PSOL,Não,SP
Luizianne,PT,Não,CE
Marcelo Freixo,PSOL,Não,RJ
Marcelo Nilo,PSB,Não,BA
Márcio Jerry,PC do B,Não,MA
Marcon,PT,Não,RS
Margarida Salomão,PT,Não,MG
Maria do Rosário,PT,Não,RS
Marília Arraes,PT,Não,PE
Mário Negromonte Jr,PP,Não,BA
Natalia Bonavides,PT,Não,RN
Nilto Tatto,PT,Não,SP
Odair Cunha,PT,Não,MG
Orlando Silva,PC do B,Não,SP
Padre João,PT,Não,MG
Patrus Ananias,PT,Não,MG
Paulão,PT,Não,AL
Paulo Guedes,PT,Não,MG
Paulo Pereira da Silva,SOLIDARIEDADE,Não,SP
Paulo Pimenta,PT,Não,RS
Paulo Ramos,PDT,Não,RJ
Paulo Teixeira,PT,Não,SP
Pelegrino,PT,Não,BA
Perpetua Almeida,PC do B,Não,AC
Pompeo de Mattos,PDT,Não,RS
Professor Israel,PV,Não,DF
Professor Pedro Uczai,PT,Não,SC
Professora Marcivania,PC do B,Não,AP
Professora Rosa Neide,PT,Não,MT
Rafael Motta,PSB,Não,RN
Reginaldo Lopes,PT,Não,MG
Rejane Dias,PT,Não,PI
Renildo Calheiros,PC do B,Não,PE
Robério Monteiro,PDT,Não,CE
Rogério Correia,PT,Não,MG
Rubens Otoni,PT,Não,GO
Rui Falcão,PT,Não,SP
Sâmia Bomfim,PSOL,Não,SP
Sergio Vidigal,PDT,Não,ES
Tadeu Alencar,PSB,Não,PE
Talíria Petrone,PSOL,Não,RJ
Tereza Nelma,PSDB,Não,AL
Tiririca,PL,Não,SP
Túlio Gadêlha,PDT,Não,PE
Valdevan Noventa,PSC,Não,SE
Valmir Assunção,PT,Não,BA
Vander Loubet,PT,Não,MS
Vicentinho,PT,Não,SP
Vilson da Fetaemg,PSB,Não,MG
Waldenor Pereira,PT,Não,BA
Weliton Prado,PROS,Não,MG
Wladimir Garotinho,PSD,Não,RJ
Wolney Queiroz,PDT,Não,PE
Ze Carlos,PT,Não,MA
Zé Neto,PT,Não,BA
Zeca Dirceu,PT,Não,PR
